"","nearestBuilding","distToNearestBuilding"
"900","Brumby Hall",0
"901","Brumby Hall",0
"902","Creswell Hall",0
"903","Brumby Hall",0
"904","Russell Hall",0
"905","Russell Hall",0
"906","Brumby Hall",0
"907","Creswell Hall",0
"908","Creswell Hall",0
"909","Creswell Hall",0
"910","Russell Hall",0
"911","Creswell Hall",0
"912","Brumby Hall",0
"913","Russell Hall",0
"914","Creswell Hall",0
"915","Brumby Hall",0
"916","Russell Hall",0
"917","Creswell Hall",0
"918","Creswell Hall",0
"919","Brumby Hall",0
"920","Brumby Hall",0
"921","Creswell Hall",0
"922","Russell Hall",0
"923","Creswell Hall",0
"924","Brumby Hall",0
"925","Russell Hall",0
"926","Brumby Hall",0
"927","Brumby Hall",0
"928","Russell Hall",0
"929","Russell Hall",0
"930","Creswell Hall",0
"931","Brumby Hall",0
"932","Russell Hall",0
"933","Creswell Hall",0
"934","Russell Hall",0
"935","Creswell Hall",0
"936","Creswell Hall",0
"937","Russell Hall",0
"938","Russell Hall",0
"939","Creswell Hall",0
"940","Russell Hall",0
"941","Russell Hall",0
"942","Russell Hall",0
"943","Brumby Hall",0
"944","Russell Hall",0
"945","Creswell Hall",0
"946","Brumby Hall",0
"947","Russell Hall",0
"948","Creswell Hall",0
"949","Russell Hall",0
"950","Russell Hall",0
"951","Creswell Hall",0
"952","Creswell Hall",0
"953","Creswell Hall",0
"954","Russell Hall",0
"955","Creswell Hall",0
"956","Russell Hall",0
"957","Mell Hall",0
"958","Mell Hall",0
"959","Mell Hall",0
"960","Mell Hall",0
"961","Lipscomb Hall",0
"962","Lipscomb Hall",0
"963","Lipscomb Hall",0
"964","Lipscomb Hall",0
"965","Lipscomb Hall",0
"966","Lipscomb Hall",0
"967","Mell Hall",0
"968","Mell Hall",0
"969","Mell Hall",0
"970","Lipscomb Hall",0
"971","Lipscomb Hall",0
"972","Lipscomb Hall",0
"973","Lipscomb Hall",0
"974","Lipscomb Hall",0
"975","Lipscomb Hall",0
"976","Lipscomb Hall",0
"977","Lipscomb Hall",0
"978","Mell Hall",0
"979","Mell Hall",0
"980","Mell Hall",0
"981","Mell Hall",0
"982","Mell Hall",0
"983","Lipscomb Hall",0
"984","Lipscomb Hall",0
"985","Lipscomb Hall",0
"986","Lipscomb Hall",0
"987","Lipscomb Hall",0
"988","Lipscomb Hall",0
"989","Hull Street Parking Deck",0
"990","Hull Street Parking Deck",0
"991","Hull Street Parking Deck",0
"992","Hull Street Parking Deck",0
"993","Baptist Student Union",0
"994","Baptist Student Union",0
"995","Hull Street Parking Deck",0
"996","Baptist Student Union",0
"997","Baptist Student Union",0
"998","Hull Street Parking Deck",0
"999","Baptist Student Union",0
"1000","Baptist Student Union",0
"1001","Baptist Student Union",0
"1002","Baptist Student Union",0
"1003","Hodgson Oil Building",0
"1004","Hodgson Oil Building",0
"1005","Hodgson Oil Building",0
"1006","Hodgson Oil Building",0
"1007","Hodgson Oil Building",0
"1008","Hodgson Oil Building",0
"1009","Hodgson Oil Building",0
"1010","Hodgson Oil Building",0
"1011","Hodgson Oil Building",0
"1012","Hodgson Oil Building",0
"1013","Hodgson Oil Building",0
"1014","Hodgson Oil Building",0
"1015","Hodgson Oil Building",0
"1016","Hodgson Oil Building",0
"1017","Hodgson Oil Building",0
"1018","Hodgson Oil Building",0
"1019","Hodgson Oil Building",0
"1020","Hodgson Oil Building",0
"1021","Hodgson Oil Building",0
"1022","Hodgson Oil Building",0
"1023","Hodgson Oil Building",0
"1024","Business Services",0
"1025","Business Services",0
"1026","Business Services",0
"1027","Business Services",0
"1028","Business Services",0
"1029","Franklin House",0
"1030","Business Services",0
"1031","Franklin House",0
"1032","Business Services",0
"1033","Franklin House",0
"1034","Franklin House",0
"1035","Coliseum Training Facility",0
"1036","Coliseum Training Facility",0
